sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
MNWP3,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wired",base,Adapter Dual Type C 35W Apple MNWP3,"The 35W Dual USB-C Port Compact Power Adapter allows you to charge two devices at the same time, whether you’re at home, in the office, or on the go.
The compact size and folding prongs make it easy to pack and store.
",,,1,,"Catalog, Search",66,,,,Adapter Dual Type C 35W Apple,Adapter Dual Type C 35W Apple,Adapter Type C Apple,"The 35W Dual USB-C Port Compact Power Adapter allows you to charge two devices at the same time, whether you’re at home, in the office, or on the go.
The compact size and folding prongs make it easy to pack and store.
",18/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,800,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
MHXF3,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wireless",base,Wireless MagSafe Duo Charger Apple MHXF3,"The MagSafe Duo Charger conveniently charges your compatible iPhone, Apple Watch, Wireless Charging Case for AirPods, and other Qi-certified devices.
Just place your devices on the charger and a steady, efficient charge begins on contact.
The charger folds together neatly so you can easily take it with you wherever you go.
What's in the Box: MagSafe Duo Charger, USB-C to Lightning Cable (1 m)
MagSafe Duo Charger can be used to wirelessly charge your iPhone 8 or later, Apple Watch, AirPods models with a wireless charging, as you would with any Qi-certified charger",,,1,,"Catalog, Search",166,,,,Wireless MagSafe Duo Charger Apple,Wireless MagSafe Duo Charger Apple,Wireless Charger Apple,"The MagSafe Duo Charger conveniently charges your compatible iPhone, Apple Watch, Wireless Charging Case for AirPods, and other Qi-certified devices.
Just place your devices on the charger and a steady, efficient charge begins on contact.
The charger",19/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,500,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
EP-T4510X,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wired",base,Adapter Type C PD 45W Samsung EP-T4510X,45W Power Adapter (w/ Cable C-to-C).Compatible devices:Samsung;iPhone;Google Pixle.Special Feature:Fast Charging.Input voltage: 240 volts,,,1,,"Catalog, Search",41,,,,Adapter Type C PD 45W Samsung,Adapter Type C PD 45W Samsung,Adapter Type C Samsung,45W Power Adapter (w/ Cable C-to-C).Compatible devices:Samsung;iPhone;Google Pixle.Special Feature:Fast Charging.Input voltage: 240 volts,20/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,1000,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
EP-T6530,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wired",base,Adapter USB Type C PD 65W Samsung EP-T6530,"CHARGE 3 DEVICES: The Power Trio Adapter lets you charge three devices — all at the same time! Experience the power and versatility of a triple-port charger*
FAST & RELIABLE CHARGING: Go for the fast charge—with speed, stability and power; Power up a wide range of devices in a snap with Super-Fast Charging** and up to 65W total power output***
UNIVERSAL COMPATIBILITY: Maximize your charging time; Power up a wide range of devices from earbuds and laptops to phones and tablets",,,1,,"Catalog, Search",50,,,,Adapter USB Type C PD 65W Samsung,Adapter USB Type C PD 65W Samsung,Adapter USB Type Samsung,"CHARGE 3 DEVICES: The Power Trio Adapter lets you charge three devices — all at the same time! Experience the power and versatility of a triple-port charger*
FAST & RELIABLE CHARGING: Go for the fast charge—with speed, stability and power; Power up a",21/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,500,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
MNHF2,,Default,simple,"Default Category,Default Category/Headphone,Default Category/Headphone/Wired",base,Earpods Apple MNHF2,"Unlike traditional, circular earbuds, the design of the EarPods is defined by the geometry of the ear which makes them more comfortable for more people than any other earbud-style headphones
The speakers inside the EarPods have been engineered to maximize sound output and minimize sound loss, which means you get high-quality audio
The EarPods also include a built-in remote that lets you adjust the volume, control the playback of music and video, and answer or end calls with a pinch of the cord
The remote and mic are supported by all models of iPod, iPhone, and iPad (not all models support volume up/down functions). Audio is supported by all iPod models. Requires software version 1.0.3 for iPod nano (4th generation), 2.0.1 for iPod classic (120GB), and 2.2 or later for iPod touch (2nd",,,1,,"Catalog, Search",29,,,,Earpods Apple,Earpods Apple,Earpods Apple,"Unlike traditional, circular earbuds, the design of the EarPods is defined by the geometry of the ear which makes them more comfortable for more people than any other earbud-style headphones
The speakers inside the EarPods have been engineered to max",22/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,400,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
MV7N2,,Default,simple,"Default Category,Default Category/Headphone,Default Category/Headphone/Wireless",base,AirPods 2 Lightning Charge Apple MV7N2,"Quick access to Siri by saying “ Hey Siri ”
More than 24 hours total listening time with the Charging Case
Effortless setup, in-ear detection, and automatic switching for a magical experience
Easily share audio between two sets of AirPods on your iPhone, iPad, iPod touch, or Apple TV",,,1,,"Catalog, Search",141,,,,AirPods 2 Lightning Charge Apple,AirPods 2 Lightning Charge Apple,AirPods 2 Charge,"Quick access to Siri by saying “ Hey Siri ”
More than 24 hours total listening time with the Charging Case
Effortless setup, in-ear detection, and automatic switching for a magical experience
Easily share audio between two sets of AirPods on your iPh",23/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,800,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
MLWK3,,Default,simple,"Default Category,Default Category/Headphone,Default Category/Headphone/Wireless",base,AirPods Pro MagSafe Charge Apple MLWK3,"Active Noise Cancellation blocks outside noise, so you can immerse yourself in music
Transparency mode for hearing and interacting with the world around you
Spatial audio with dynamic head tracking places sound all around you
Adaptive EQ automatically tunes music to your ears
Three sizes of soft, tapered silicone tips for a customizable fit
Force sensor lets you easily control your entertainment, answer or end calls, and more
Sweat and water resistant
More than 24 hours total listening time with the MagSafe Charging Case
Quick access to Siri by saying “Hey Siri”
Effortless setup, in-ear detection, and automatic switching for a magical experience. Connectivity- Bluetooth 5.0",,,1,,"Catalog, Search",225,,,,AirPods Pro MagSafe Charge Apple,AirPods Pro MagSafe Charge Apple,AirPods Pro Charge Apple,"Active Noise Cancellation blocks outside noise, so you can immerse yourself in music
Transparency mode for hearing and interacting with the world around you
Spatial audio with dynamic head tracking places sound all around you
Adaptive EQ automaticall",24/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,1000,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
R510N,,Default,simple,"Default Category,Default Category/Headphone,Default Category/Headphone/Wireless",base,Bluetooth True Headphone Wireless Samsung Galaxy Buds 2 Pro R510N,"ACTIVE NOISE CANCELLATION: Reduce unwanted noise with Galaxy Buds2 Pro; They use Intelligent Active Noise Cancellation* to quiet even the loudest outside sounds; Tune in to what matters most without being bothered by distracting sounds around you.Note : If the size of the earbud tips does not match the size of your ear canals or the headset is not worn properly in your ears, you may not obtain the correct sound qualities or call performance. Change the earbud tips to ones that fit more snugly in your ear
HI-FI SOUND QUALITY: Studio quality sound isn’t just for the pros; Feel every note like you’re there with Galaxy Buds2 Pro** and get a next-level listening experience, whether you’re rocking out to your playlist or staying informed with a podcast
ENHANCED 360-DEGREE AUDIO: Amplify what you like; Minimize what you don’t; Enhanced 360-degree audio** brings out the tones you love from every angle for a personalized surround sound experience every time you pop them in
EXCELLENT FIT: Pop ‘em in and forget they’re there; Galaxy Buds2 Pro are earbuds designed to be even more comfortable than before and fit securely no matter what you’re doing; Whether for your work or workout, make all your moves comfortably
HD VOICE TECHNOLOGY: Turn every call into a high definition chat; HD Voice Technology separates your voice from surrounding noise, so you come in crystal clear even with the hustle and bustle around you
INTELLIGENT CONVERSATION MODE: Keep the conversation going without taking out your earbuds; When your voice is detected, Intelligent Conversation Mode turns off Active Noise Cancellation, turns down the volume and puts your Buds in Ambient Mode***
WATER RESISTANT: Water won’t ruin your workout; Your IPX7 water-resistant Galaxy Buds2 Pro can keep the beat going even with a little rain; They’re protected for immersion up to 3 feet deep for a half-hour****",,,1,,"Catalog, Search",163,,,,Bluetooth True Headphone Wireless Samsung Galaxy Buds 2 Pro,Bluetooth True Headphone Wireless Samsung Galaxy Buds 2 Pro,Headphone Samsung Galaxy Buds 2 Pro,ACTIVE NOISE CANCELLATION: Reduce unwanted noise with Galaxy Buds2 Pro; They use Intelligent Active Noise Cancellation* to quiet even the loudest outside sounds; Tune in to what matters most without being bothered by distracting sounds around you.Not,25/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,1000,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
WF-1000XM3,,Default,simple,"Default Category,Default Category/Headphone,Default Category/Headphone/Wireless",base,Bluetooth True Wireless Headphone Sony WF-1000XM3,"Digital noise canceling: Industry leading anc lends a personalized, virtually soundproof experience. Phone call: A built-in mic enables you to take hands-free calls
Product Note : If the size of the earbud tips does not match the size of your ear canals or the headset is not worn properly in your ears, you may not obtain the correct sound qualities or call performance. Change the earbud tips to ones that fit more snugly in your ears
24bit Audio signal processing delivers dramatically improved sound quality
Battery life up to 24 hours with carrying case (with 10min quick charge for 90min of play time).Note:If you face issue in Bluetooth connectivity please turn off the Bluetooth function for a couple of minutes, then turn it back on
Easy and clear hands free calling; Leave your phone where it is, just speak with a double tap to the earbud
Truly wireless design with uninterrupted L/R simultaneous Bluetooth transmission
Alexa enabled for voice access to music, information, and more. Activate with a simple touch
Smart listening by adaptive sound control automatically switches to ambient sound mode based on your activity
Quick attention mode and wearing detection make conversations effortless
Sony, headphones connect app for Android/iOS to use smart listening technology to control your ambient sound settings",,,1,,"Catalog, Search",177,,,,Bluetooth True Wireless Headphone Sony,Bluetooth True Wireless Headphone Sony,Bluetooth Headphone Sony,"Digital noise canceling: Industry leading anc lends a personalized, virtually soundproof experience. Phone call: A built-in mic enables you to take hands-free calls
Product Note : If the size of the earbud tips does not match the size of your ear can",26/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,500,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
WI-SP510,,Default,simple,"Default Category,Default Category/Headphone,Default Category/Headphone/Wireless",base,In ear wireless headphone WI-SP510,"EXTRA BASS for deep, punchy sound
BLUETOOTH wireless technology
Easy hands-free calling and voice assistant
Water-resistant IPX5 rating design
Up to 15 hours long battery life",,,1,,"Catalog, Search",79,,,,In ear wireless headphone,In ear wireless headphone,In ear wireless headphone,"EXTRA BASS for deep, punchy sound
BLUETOOTH wireless technology
Easy hands-free calling and voice assistant
Water-resistant IPX5 rating design
Up to 15 hours long battery life",27/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,800,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
